tweet_id,tweet_text,class_label
1031218893908406273,"Kerala Floods: More than 38,000 people rescued from the flood-affected areas in Kerala  #KeralaFloods #KeralaFloodRelief #Kerala #Flood #KeralaRain #IndianArmy #prayforkerala #flooding #BeStrong #NarendraModi #KeralaReliefFund #AHelpingHandForKerala",rescue_volunteering_or_donation_effort
1030767523342499842,@BDUTT While PayTm owner Shekhar donated Rs Ten Thousand n proudly tweeted this girl by selling fish donated 1.5 lac ..Bravo,rescue_volunteering_or_donation_effort
1030385981973618688,#KeralaFloods Malayala Manorama makes epaper free for 3 days with regard to unprecedented flood. Newspaper distribution is affected in many areas.,rescue_volunteering_or_donation_effort
1031078567147319297,#KeralaSOS #KeralaFloods Lets centralise all relief operations: please help us consolidate the #Verified resources and the requests on one page made available to all! Please share and Rt as needed. #KeralaFloodRelief,sympathy_and_support
1033187418889834497,"@narendramodi @AmitShah PS @ kerala is doing the fire fight,lets give him the full support.nw its the time.uae aid failed,if possible let their be an amount transferred to all flood hit victims to their bank acont,atleast 10000 per head for hse cleaning.people are strglng",rescue_volunteering_or_donation_effort
1030778991483871232,Great Initiative by @coindelta_ You can now donate crypto toward Kerala flood relief fund. Crypto Community is the most generous community I have come across. Proud. #KeralaFloodRelief #bitcoin #crypto-blocks/,rescue_volunteering_or_donation_effort
1031107092650778624,The commies want Rs 2000 cr immediately. Rs 500 cr for flood relief. Rs 1500 cr for party and personal pocket funds.,rescue_volunteering_or_donation_effort
1030810567835938816,"@narendramodi Sir , Chenganoor area is in very dangerous condition..We need more army assistance there..Please Please help.@PMOIndia #KeralaFloodRelief",requests_or_urgent_needs
1033158953432219649,Malayalam Newspapers Thanks UAE For Support To Flood-Hit Kerala Read more at:,sympathy_and_support
1031107085260480514,"#KeralaFloods | All Aam Aadmi Party MLAs, MPs and ministers donating one month salary for Kerala, tweets Delhi Chief Minister @ArvindKejriwal Follow updates:  Here’s how you can help #KeralaFlood victims:",rescue_volunteering_or_donation_effort
1031725069179998208,Thank you @mihirjoshimusic for your support for our efforts towards #KeralaFloodRelief! We are always grateful to have you encourage us and spread the word on our behalf. Donate now towards Humanitarian Aid Kits for people stranded in the #KeralaFlood:,rescue_volunteering_or_donation_effort
1030719468043825153,RT @moneycontrolcom: Kerala flood LIVE: PM announces financial assistance of Rs 500 crore to Kerala. Click here for latest updates /,rescue_volunteering_or_donation_effort
1037859705983565825,"#KeralaFloods #KannanGopinathan @IASassociation He volunteered at various relief camps and collection centres in post-flood #Kerala for eight days. When people recognised him, he simply left, as quietly as when he first arrived and helped.",rescue_volunteering_or_donation_effort
1030779017987649542,Praying fr nature to put an end to the havoc it has caused upon the people in keralaὉ4ὤFAppreciate all the rescuers &amp; helpersὄDὤF #KeralaFloods,sympathy_and_support
1032447024908722176,"#KeralaFloods: After seeing damaged houses, return home can be traumatic",infrastructure_and_utility_damage
1031768807570726912,"VLEs extending helping hands to provide relief material to affected people in Keralas Chenganoor, Alapuzha and Idukki districts. They distributed food, water, clothing, medicine etc to flood people as humanitarian work is still on. #KeralaFloodRelief #KeralaFloods2018 #OpMadad",rescue_volunteering_or_donation_effort
1031045983747096576,"Govt Highschool Polleathai. Alappuzha; 14km north side of Alappuzha through beach road. We need food for 300 people, bed sheets and undergarments. Please do something as soon as possible. +91 98468 40228 - Bijoy #Verified 9PM, 18/08 #KeralaFloods #KeralaFloodRelief",requests_or_urgent_needs
1032566919201742849,"With the death toll nearing 400, the #Keralafloods have devastated Gods Own Country. Now is the time step up and donate to your fellow Indians. Stand with Kerala and donate here:  #SaveKerala",injured_or_dead_people
1037595516324990976,"SBI, LIC Housing offer concessional home loan for flood-hit Kerala",rescue_volunteering_or_donation_effort
1032633088084389894,#DilSeViruGiri Lets take a small step to help Kerala Flood Victims. Play this exciting game &amp; Donate. @MyTeam_11 @virendersehwag,rescue_volunteering_or_donation_effort
1032090502349381633,Team @CsharpCorner appeals to all the followers to extend their help toward #KeralaFloodsRelief.  #StandwithKerala #KeralaFlood #KeralaSOS #IndiaForKerala #KodaguFloods #KeralaFloodsHelpNeeded,sympathy_and_support
